Year,Provinces/Territories,January,February,March,April,May,June,July,August,September,October,November,December,Total
2017,Newfoundland and Labrador,0,NA,0,0,0,0,0,NA,NA,0,0,0,5
2017,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nova Scotia,NA,NA,0,NA,NA,5,5,NA,NA,NA,10,10,50
2017,New Brunswick,NA,0,NA,5,0,0,5,NA,0,0,NA,NA,20
2017,Quebec,270,260,460,500,650,865,1540,4715,1715,1380,1115,1335,14805
2017,Ontario,890,910,875,780,960,965,845,1400,1000,990,1100,740,11460
2017,Manitoba,15,10,20,20,20,15,10,30,10,35,20,15,220
2017,Saskatchewan,NA,NA,10,0,10,10,5,10,5,NA,0,NA,60
2017,Alberta,110,55,75,60,75,90,75,135,100,130,90,90,1080
2017,British Columbia,55,40,55,55,55,90,80,125,105,95,90,65,910
2017,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Total - IRCC,1345,1285,1495,1425,1770,2040,2570,6420,2945,2640,2425,2260,28610
2018,Newfoundland and Labrador,5,NA,NA,0,NA,0,10,NA,0,NA,5,0,30
2018,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nova Scotia,NA,NA,NA,NA,5,NA,NA,5,5,10,NA,5,50
2018,New Brunswick,NA,NA,5,5,NA,NA,NA,NA,NA,5,NA,NA,35
2018,Quebec,1325,1315,535,515,425,475,585,610,670,970,855,590,8865
2018,Ontario,930,950,815,665,1015,910,930,1235,1440,1800,1915,1210,13825
2018,Manitoba,20,20,15,10,5,10,10,20,15,15,20,15,180
2018,Saskatchewan,5,5,NA,5,5,NA,5,NA,5,10,NA,NA,55
2018,Alberta,95,80,65,90,70,65,105,115,110,150,110,125,1190
2018,British Columbia,70,105,90,90,85,85,115,130,125,190,170,125,1375
2018,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Total - IRCC,2455,2485,1530,1390,1620,1550,1770,2120,2370,3155,3085,2070,25605
2019,Newfoundland and Labrador,NA,NA,NA,NA,0,5,0,NA,0,0,NA,0,15
2019,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nova Scotia,10,10,5,5,NA,NA,NA,5,0,10,25,NA,80
2019,New Brunswick,10,NA,NA,NA,NA,0,NA,NA,5,NA,5,NA,35
2019,Quebec,745,755,670,660,715,735,1035,935,930,1050,1000,1360,10590
2019,Ontario,1645,1575,1330,1235,1370,1180,1870,1945,1965,1970,1580,1520,19180
2019,Manitoba,10,25,NA,10,20,10,25,30,20,15,10,10,180
2019,Saskatchewan,15,5,5,NA,NA,5,NA,10,10,5,10,15,90
2019,Alberta,100,105,95,105,120,115,205,115,145,145,120,155,1525
2019,British Columbia,175,175,175,195,185,215,395,325,285,325,285,225,2965
2019,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Total - IRCC,2710,2650,2290,2210,2420,2265,3535,3370,3365,3520,3040,3290,34670
2020,Newfoundland and Labrador,0,0,0,0,NA,0,0,0,NA,0,NA,NA,10
2020,Prince Edward Island,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,10
2020,Nova Scotia,5,15,NA,10,10,NA,NA,0,0,NA,0,10,60
2020,New Brunswick,NA,10,0,NA,NA,NA,NA,NA,NA,0,NA,0,30
2020,Quebec,905,655,585,325,270,410,235,240,340,275,315,225,4780
2020,Ontario,1390,1155,1080,810,655,635,275,360,415,485,480,435,8175
2020,Manitoba,20,20,35,10,NA,10,NA,5,5,10,10,10,135
2020,Saskatchewan,NA,NA,NA,5,NA,0,0,NA,0,5,NA,NA,25
2020,Alberta,155,120,95,65,60,50,45,35,45,35,65,45,810
2020,British Columbia,225,240,185,245,145,165,55,75,95,115,125,90,1760
2020,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Total - IRCC,2700,2225,1980,1470,1150,1280,615,720,900,930,1005,820,15795
2021,Newfoundland and Labrador,NA,0,NA,0,NA,NA,0,0,0,NA,NA,5,15
2021,Prince Edward Island,0,0,NA,0,0,0,NA,0,5,0,NA,0,10
2021,Nova Scotia,NA,NA,5,NA,NA,NA,0,NA,5,5,5,NA,40
2021,New Brunswick,5,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,25
2021,Quebec,215,200,270,180,195,150,155,170,190,235,335,465,2750
2021,Ontario,435,475,540,455,470,450,450,400,560,625,1090,1155,7100
2021,Manitoba,NA,10,NA,5,5,5,5,NA,NA,5,25,20,95
2021,Saskatchewan,5,NA,NA,5,NA,NA,5,NA,NA,NA,NA,0,30
2021,Alberta,65,40,65,60,45,30,40,35,35,80,80,105,690
2021,British Columbia,120,85,110,90,105,100,80,70,90,120,160,185,1320
2021,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Northwest Territories,0,0,0,0,0,0,0,0,0,0,NA,0,NA
2021,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Total - IRCC,850,820,1000,800,830,750,740,680,900,1085,1700,1935,12080
2022,Newfoundland and Labrador,0,NA,NA,NA,0,NA,0,0,0,NA,5,0,15
2022,Prince Edward Island,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2022,Nova Scotia,5,5,5,NA,NA,10,5,10,10,5,5,15,80
2022,New Brunswick,NA,NA,NA,0,0,NA,NA,0,0,10,NA,10,35
2022,Quebec,410,510,530,460,485,550,560,705,685,635,610,895,7035
2022,Ontario,1100,1180,1165,1020,1045,1240,1225,1675,1450,1320,1775,1865,16065
2022,Manitoba,30,5,15,20,15,20,15,25,20,15,10,20,210
2022,Saskatchewan,NA,NA,10,5,NA,0,NA,NA,10,NA,NA,10,55
2022,Alberta,110,90,140,100,100,110,95,150,120,115,145,175,1450
2022,British Columbia,145,175,235,175,175,245,205,290,175,190,305,340,2655
2022,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Northwest Territories,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
2022,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2022,Total - IRCC,1800,1975,2105,1785,1830,2180,2115,2860,2475,2295,2865,3330,27615
2023,Newfoundland and Labrador,NA,NA,0,NA,5,5,NA,0,NA,10,10,5,45
2023,Prince Edward Island,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,15
2023,Nova Scotia,NA,20,NA,5,5,10,20,10,15,15,20,10,130
2023,New Brunswick,NA,NA,NA,NA,15,5,5,5,15,20,15,15,105
2023,Quebec,1040,850,890,815,1210,1200,1705,1960,2025,2520,2345,2355,18910
2023,Ontario,2080,1755,1910,1625,2465,2805,3400,4515,4265,5125,5615,5205,40770
2023,Manitoba,10,10,15,10,20,40,55,50,60,100,120,90,580
2023,Saskatchewan,10,NA,5,NA,10,10,5,15,20,25,20,25,155
2023,Alberta,175,175,150,160,205,350,430,620,605,730,790,640,5030
2023,British Columbia,370,320,340,245,365,455,445,565,595,635,670,700,5700
2023,Yukon,0,0,0,0,0,0,0,0,NA,NA,0,0,NA
2023,Northwest Territories,0,0,0,0,0,0,0,0,NA,0,0,0,NA
2023,Nunavut,0,0,0,0,NA,0,0,NA,NA,0,0,0,NA
2023,Outside Canada,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5
2023,Total - IRCC,3690,3130,3320,2865,4300,4880,6070,7740,7605,9185,9610,9050,71455
